cod_radio,pob_total,pob_adulta_mayor,pct_adulta_mayor
020772011,644,109,16.93
020772101,764,148,19.37
020772102,803,155,19.3
020772103,1056,235,22.25
020772104,927,167,18.02
020772105,412,72,17.48
020772106,902,176,19.51
020772107,737,131,17.77
020772108,673,126,18.72
020772109,606,99,16.34
020772110,857,142,16.57
020772111,822,144,17.52
020772112,516,90,17.44
020772201,785,130,16.56
020772202,757,140,18.49
020772203,844,165,19.55
020772204,687,129,18.78
020772205,852,168,19.72
020772206,979,199,20.33
020772207,800,150,18.75
020772208,779,147,18.87
020772209,736,130,17.66
020772210,774,143,18.48
020772211,909,140,15.4
020840101,560,105,18.75
020840102,733,158,21.56
020840103,597,143,23.95
020840104,875,160,18.29
020840105,650,112,17.23
020840106,817,153,18.73
020840107,1213,238,19.62
020840108,677,142,20.97
020840109,988,200,20.24
020840110,1155,212,18.35
020840111,1076,186,17.29
020840201,750,110,14.67
020840202,848,207,24.41
020840203,961,180,18.73
020840204,1262,254,20.13
020840205,1046,183,17.5
020840206,1054,197,18.69
020840207,1117,213,19.07
020840208,1122,194,17.29
020840209,633,113,17.85
020840301,439,67,15.26
020840302,711,154,21.66
020840303,981,183,18.65
020840304,832,165,19.83
020840305,887,141,15.9
020840306,1394,163,11.69
020840307,935,200,21.39
020840308,667,108,16.19
020840309,582,98,16.84
020840310,1052,183,17.4
020840311,791,143,18.08
020840401,961,154,16.02
020840402,1143,180,15.75
020840403,1374,266,19.36
020840404,912,151,16.56
020840405,690,147,21.3
020840406,839,184,21.93
020840407,930,209,22.47
020840408,503,81,16.1
020840409,610,112,18.36
020840410,740,122,16.49
020840501,813,132,16.24
020840502,687,112,16.3
020840503,700,111,15.86
020840504,574,126,21.95
020840505,641,134,20.9
020840506,627,127,20.26
020840507,719,118,16.41
020840508,785,179,22.8
020840509,715,132,18.46
020840510,699,139,19.89
020840511,690,113,16.38
020840512,765,111,14.51
020840601,950,179,18.84
020840602,1115,205,18.39
020840603,739,153,20.7
020840604,912,190,20.83
020840605,1041,189,18.16
020840606,807,137,16.98
020840607,693,135,19.48
020840608,1059,176,16.62
020840609,967,146,15.1
020840610,860,160,18.6
020840701,1002,165,16.47
020840702,822,165,20.07
020840703,878,181,20.62
020840704,957,150,15.67
020840705,837,153,18.28
020840706,991,190,19.17
020840707,925,156,16.86
020840708,907,197,21.72
020840709,648,95,14.66
020840710,577,116,20.1
020840711,568,98,17.25
020840712,366,60,16.39
020840713,815,150,18.4
020840801,1075,144,13.4
020840802,804,144,17.91
020840803,918,167,18.19
020840804,859,124,14.44
020840805,609,130,21.35
020840806,1002,195,19.46
020840807,807,163,20.2
020840808,1143,156,13.65
020840809,1062,203,19.11
020840810,726,152,20.94
020840811,621,141,22.71
020840812,884,101,11.43
020840901,1208,226,18.71
020840902,981,198,20.18
020840903,820,133,16.22
020840904,1341,224,16.7
020840905,1256,228,18.15
020840906,1072,172,16.04
020840907,996,173,17.37
020840908,691,135,19.54
020841001,1212,184,15.18
020841002,850,149,17.53
020841003,886,166,18.74
020841004,773,120,15.52
020841005,773,128,16.56
020841006,1123,161,14.34
020841007,1039,129,12.42
020841008,899,122,13.57
020841009,995,168,16.88
020841010,788,124,15.74
020841011,1242,152,12.24
020841012,717,98,13.67
020841013,629,111,17.65
020841101,882,160,18.14
020841102,655,99,15.11
020841103,833,113,13.57
020841104,837,142,16.97
020841105,699,81,11.59
020841106,834,173,20.74
020841107,755,134,17.75
020841108,786,139,17.68
020841109,894,186,20.81
020841110,898,170,18.93
020841111,1232,166,13.47
020841112,616,27,4.38
020841113,355,62,17.46
020841201,827,166,20.07
020841202,1417,230,16.23
020841203,1087,180,16.56
020841204,1005,209,20.8
020841205,1074,221,20.58
020841206,662,146,22.05
020841207,907,176,19.4
020841208,709,125,17.63
020841209,603,61,10.12
020841301,1117,176,15.76
020841302,1146,191,16.67
020841303,540,77,14.26
020841304,1100,214,19.45
020841305,807,173,21.44
020841306,1161,193,16.62
020841307,835,177,21.2
020841308,714,118,16.53
020841309,1161,181,15.59
020841310,607,100,16.47
020841311,703,154,21.91
020841401,835,186,22.28
020841402,997,248,24.87
020841403,983,205,20.85
020841404,1141,230,20.16
020841405,1032,235,22.77
020841406,943,192,20.36
020841407,1625,256,15.75
020841408,926,180,19.44
020841409,1489,235,15.78
020841410,968,184,19.01
020841411,797,130,16.31
020841412,466,73,15.67
020841501,634,101,15.93
020841502,624,113,18.11
020841503,410,105,25.61
020841504,1055,208,19.72
020841505,1108,196,17.69
020841506,916,274,29.91
020841507,1002,226,22.55
020841508,1205,233,19.34
020841509,1461,222,15.2
020841510,1166,208,17.84
020841511,828,152,18.36
020841512,782,165,21.1
020841513,571,175,30.65
020841514,632,88,13.92
020841515,501,80,15.97
020841516,890,151,16.97
020841601,1202,195,16.22
020841602,967,183,18.92
020841603,1177,189,16.06
020841604,515,89,17.28
020841605,588,122,20.75
020841606,919,150,16.32
020841607,976,131,13.42
020841608,914,123,13.46
020841609,879,165,18.77
020841610,1010,211,20.89
020841611,896,139,15.51
