cod_radio,hogares_total,hogares_nbi,pct_nbi
020072908,282,78,27.66
020072909,411,72,17.52
020073001,308,61,19.81
020073002,329,53,16.11
020073003,175,28,16.0
020073004,199,57,28.64
020073005,102,41,40.2
020073006,257,73,28.4
020073007,280,47,16.79
020073008,259,80,30.89
020073009,212,21,9.91
020073010,290,110,37.93
020073011,330,100,30.3
020073012,394,111,28.17
020073013,259,66,25.48
020140101,22,2,9.09
020140102,163,13,7.98
020140201,384,7,1.82
020140202,474,7,1.48
020140203,251,4,1.59
020140204,274,5,1.82
020140205,297,5,1.68
020140206,222,5,2.25
020140207,173,1,0.58
020140208,336,3,0.89
020140301,489,6,1.23
020140302,510,8,1.57
020140303,141,4,2.84
020140304,214,2,0.93
020140305,365,10,2.74
020140306,527,11,2.09
020140307,393,2,0.51
020140308,303,3,0.99
020140401,402,7,1.74
020140402,158,0,0.0
020140403,184,2,1.09
020140404,266,1,0.38
020140405,375,2,0.53
020140406,237,1,0.42
020140407,309,2,0.65
020140408,485,1,0.21
020140409,333,1,0.3
020140410,526,6,1.14
020140501,335,7,2.09
020140502,372,2,0.54
020140503,306,5,1.63
020140504,327,4,1.22
020140505,431,9,2.09
020140506,438,5,1.14
020140507,412,5,1.21
020140508,304,4,1.32
020140509,236,4,1.69
020140601,264,11,4.17
020140602,636,5,0.79
020140603,244,0,0.0
020140604,371,4,1.08
020140605,224,5,2.23
020140606,375,19,5.07
020140607,210,4,1.9
020140608,253,8,3.16
020140609,314,4,1.27
020140610,244,5,2.05
020140701,652,5,0.77
020140702,513,4,0.78
020140703,463,10,2.16
020140704,374,1,0.27
020140705,283,18,6.36
020140706,344,3,0.87
020140707,523,13,2.49
020140708,234,8,3.42
020140709,363,1,0.28
020140801,378,4,1.06
020140802,409,6,1.47
020140803,566,10,1.77
020140804,566,5,0.88
020140805,610,10,1.64
020140806,662,6,0.91
020140807,1043,31,2.97
020140808,467,8,1.71
020140901,400,4,1.0
020140902,391,45,11.51
020140903,496,17,3.43
020140904,490,5,1.02
020140905,545,9,1.65
020140906,549,10,1.82
020140907,464,5,1.08
020140908,727,16,2.2
020140909,647,8,1.24
020141001,585,5,0.85
020141002,378,4,1.06
020141003,328,3,0.91
020141004,505,1,0.2
020141005,488,0,0.0
020141006,332,3,0.9
020141007,649,3,0.46
020141008,498,1,0.2
020141009,348,8,2.3
020141101,702,9,1.28
020141102,244,1,0.41
020141103,721,13,1.8
020141104,691,19,2.75
020141105,288,1,0.35
020141106,436,6,1.38
020141201,370,3,0.81
020141202,354,1,0.28
020141203,452,2,0.44
020141204,735,8,1.09
020141205,619,11,1.78
020141206,407,4,0.98
020141207,276,0,0.0
020141301,685,9,1.31
020141302,463,6,1.3
020141303,582,4,0.69
020141304,579,2,0.35
020141305,557,9,1.62
020141306,409,9,2.2
020141307,710,10,1.41
020141401,306,2,0.65
020141402,297,2,0.67
020141403,247,2,0.81
020141404,402,3,0.75
020141405,434,15,3.46
020141406,642,23,3.58
020141407,413,29,7.02
020141408,445,10,2.25
020141409,629,11,1.75
020141410,621,35,5.64
020141501,290,7,2.41
020141502,420,2,0.48
020141503,758,14,1.85
020141504,359,5,1.39
020141505,236,4,1.69
020141506,353,6,1.7
020141507,329,3,0.91
020141508,365,5,1.37
020141601,361,23,6.37
020141602,344,10,2.91
020141603,368,2,0.54
020141604,361,5,1.39
020141605,411,6,1.46
020141606,367,5,1.36
020141607,511,5,0.98
020141608,314,1,0.32
020141701,566,11,1.94
020141702,450,4,0.89
020141703,544,9,1.65
020141704,236,3,1.27
020141705,398,10,2.51
020141706,599,10,1.67
020141707,603,11,1.82
020141708,501,12,2.4
020141709,363,1,0.28
020141801,515,6,1.17
020141802,658,14,2.13
020141803,495,4,0.81
020141804,301,4,1.33
020141805,311,4,1.29
020141806,423,2,0.47
020141807,282,17,6.03
020141808,286,16,5.59
020141901,435,5,1.15
020141902,401,9,2.24
020141903,323,10,3.1
020141904,568,10,1.76
020141905,375,2,0.53
020141906,436,8,1.83
020141907,373,8,2.14
020141908,449,17,3.79
